Date,AAPL,FB,UNH,MA,MSFT,NVDA,HD,PFE,AMZN,BRK-B,PG,XOM,TSLA,JPM,V,DIS,GOOGL,JNJ,BAC,CSCO
1982-03-26,,,,,,,,,,,,,,,,,,,,
1982-03-29,0.02307555861554267,,,,,,0.14063154691994217,0.0170729566445047,,,0.02006144900483342,0.0,,-0.019657077782185284,,0.00975603514704515,,-0.006826469323978901,0.0,
1982-03-30,0.0150363396294797,,,,,,-0.12329270332710918,-0.016786363783411695,,,0.016641446539337634,0.004425059179721025,,0.0,,0.014492619844915788,,0.013746513421427853,-0.008928982286363074,
1982-03-31,0.0,,,,,,0.0,0.0024393954239365634,,,-0.014880671526659284,-0.008810543603361642,,0.012531728186000679,,0.009523667723785767,,0.0033891047714538214,-0.009008635309114332,
1982-04-01,0.05184847640571588,,,,,,0.0,0.014597951045588697,,,0.004530779943212826,0.013332909520337832,,0.0,,0.035378393516671824,,0.013513191364276977,0.018181856325153456,
1982-04-02,0.0,,,,,,0.0,0.014388838315526176,,,0.0,0.00877165466884855,,0.03960398435443846,,0.0045554995004502,,0.02333309228966085,-0.008928982286363074,
1982-04-05,0.0,,,,,,0.0,0.004727942709610744,,,0.006015677256670848,-0.013042825233664068,,-0.00952439696960905,,-0.0022670660173279567,,-0.003256825736236646,0.0,
1982-04-06,-0.0070421184070207365,,,,,,0.0,-0.00941179070422693,,,0.010463214727528536,0.0,,0.009615983412886608,,0.0,,-0.006536586295504576,-0.01801736961748468,
1982-04-07,-0.014182669375015333,,,,,,0.0,0.026127578374774973,,,-0.005916982137421312,0.004404895736287662,,0.00714269870852946,,0.02045398234937701,,0.0,0.0,
1982-04-08,0.007193171344277216,,,,,,0.0,0.009259192463862975,,,0.014880738931689619,0.0,,0.021276535002170638,,0.017817329717897845,,0.003290116911596197,0.01834795144030843,
1982-04-12,-0.0071417991592185315,,,,,,0.0,0.004588347100365597,,,0.010263837687147337,0.0,,0.0,,-0.0021877701073930167,,0.029507893094674165,-0.01801736961748468,
1982-04-13,-0.07913195071033108,,,,,,0.0,0.0068476254219458355,,,0.005805012967268208,0.0,,-0.0023149414592231743,,0.008771639113492657,,-0.01592271298697112,0.01834795144030843,
1982-04-14,0.00781162791333867,,,,,,0.0,0.02494423369699006,,,0.0,-0.008771821076017039,,-0.018561301963623378,,-0.010869925597648766,,-0.012945549188570049,-0.01801736961748468,
1982-04-15,0.015503085608326694,,,,,,0.0,-0.0022125379480103513,,,0.0014437270328409024,0.0,,0.002364467287253591,,0.00879138130054713,,0.0,0.009174026127999113,
1982-04-16,0.030532101177398907,,,,,,0.0,0.011086652692079868,,,0.004322261070625499,0.0,,-0.012971825423304884,,0.0021788429932716458,,0.0032786901963128834,-0.009090628464941686,
1982-04-19,-0.022220332759662176,,,,,,0.0,0.00877233140280631,,,0.01074741860362649,-0.004424471600491087,,0.0071684363723205635,,0.0,,0.003267467307857208,0.009174026127999113,
1982-04-20,-0.04545149862885789,,,,,,0.0,0.008695489966303205,,,-0.015805332213204903,-0.004444556112236375,,-0.0035588101390821025,,-0.019564989998750115,,-0.013028189414477365,-0.027272784487730295,
1982-04-21,-0.00795045590657295,,,,,,0.0,-0.008620530232165247,,,0.0029203328978291143,-0.008928288626679382,,0.01785678100096222,,0.0022174141189179597,,-0.019802426742761448,0.009345711848493421,
1982-04-22,-0.015999033065643098,,,,,,0.0,-0.0021737796862270065,,,0.013100561554068246,0.013513337989912833,,0.017544317477287796,,0.002211970048362266,,0.020202484971429957,0.0,
1982-04-23,0.0,,,,,,0.0,0.023965156404247123,,,0.0,0.022221515867229646,,-0.006896860792104498,,0.011037357451707974,,0.04290274520214665,0.009259686982796111,
1982-04-26,0.02440363993743544,,,,,,0.0,0.002128346216313304,,,-0.0043111998029444765,-0.008695381782637401,,0.0,,0.01746713429965374,,0.009494114345465432,0.0,
1982-04-27,-0.03175810442206528,,,,,,0.0,-0.01486297506580081,,,-0.002886556290753517,-0.00438557772367143,,-0.0034720461217858656,,-0.01716727126687667,,-0.018807880561856782,0.01834795144030843,
1982-04-28,-0.040981239587203344,,,,,,0.0,-0.019396377033007006,,,-0.0028940707169236024,0.004404895736287662,,-0.010453498315968535,,-0.004366290525880778,,0.0,-0.009008635309114332,
1982-04-29,0.0,,,,,,0.0,-0.01758218312255666,,,-0.004353316310458877,-0.00438557772367143,,-0.02464718623045936,,-0.002193633548689289,,-0.0031954471275289498,0.009090528565730116,
1982-04-30,0.008546128846564693,,,,,,0.14063154691994217,0.0,,,-0.0014581677485884237,-0.004405564296986686,,-0.007220124671988626,,0.004395843357956508,,0.02564097771449303,0.018017468616740917,
1982-05-03,0.03389665511467621,,,,,,-0.2534264236702941,0.01566004114709907,,,0.004379976715470191,0.004425059179721025,,0.003635619958311409,,0.002188074186076472,,0.021875074035263564,0.0,
1982-05-04,0.03279976271126883,,,,,,0.0,-0.0022034476202332787,,,0.008720516522351396,0.008810627173448937,,-0.0144922312273007,,0.0,,0.009173900709624538,-0.008848611729440625,
1982-05-05,-0.015886203181646463,,,,,,0.0,-0.002207465368172401,,,-0.008645126553404547,0.004366093434482243,,0.0,,-0.004366290525880778,,0.009092272499092058,0.0,
1982-05-06,0.03227055771355203,,,,,,0.1743079643709684,0.0,,,0.008720516522351396,0.026088042390151056,,0.0,,0.0,,0.003002126146038897,-0.008928982286363074,
1982-05-07,0.0156237228856424,,,,,,0.0,-0.013273716520676881,,,0.0028825901010911537,0.008695678735272105,,-0.003676776574846552,,-0.013157687229286119,,-0.017964196621641504,0.0,
